Id,Year,SECTION_ID,Baujahr,GEOPOINT_ID,Haltungslaenge,Mittlere_Tiefe,Kanalart,Wasserschutzzone,Lage_im_Verkehrsraum,Grundwasserstand,Materialart,Materialgruppe,Cluster_Name,Profilart,Profilbreite,Profilhoehe,Erneuerung,SUBS_CLASS,PRIO_CLASS,SUBSTANZ,Prioritaet,ENTSCHEIDUNG_KUBUS_C,ENTSCHEIDUNG_STRATEGIE,Ausgabe,RAD,RBW_AHK,Lat1,Lat2,Long1,Long2
345101,2016,14360,1970,83301,39.41,4.02,K,KW,B5,1,B,Beton,Beton,DN,300,300,44505.71,4.30323865203,5.06,13.94,100.0,4,1,0.0,21,0.0,50.5365081325,50.5368176986,9.71492475329,9.71516543127
345126,2016,14361,1970,83303,55.654,3.52,K,KW,B5,1,B,Beton,Beton,DN,300,300,54849.8,3.6873962688,5.06,29.38,100.0,3,1,0.0,21,0.0,50.5368261221,50.5373008144,9.71517035651,9.71537008621
345151,2016,14362,1972,83305,21.567,3.32,K,KW,B5,1,B,Beton,Beton,DN,300,300,21255.36,2.25814423664,2.75,64.84,54.68,2,2,0.0,23,0.0,50.5365120501,50.5366941422,9.71615906942,9.7162096359
345176,2016,14363,1972,83307,43.993,3.25,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,43357.3,4.12787644583,4.87,17.44,96.74,4,1,0.0,23,0.0,50.5364129207,50.5365065291,9.71675324648,9.71616475734
345201,2016,14364,1972,83309,49.145,2.91,K,KW,B5,1,B,Beton,Beton,DN,300,300,39674.76,2.78855908545,5.06,54.23,100.0,2,2,0.0,23,0.0,50.5367031269,50.5371359693,9.71621104198,9.71622691032
345226,2016,14365,1972,83311,11.106,2.51,K,KW,B5,1,B,Beton,Beton,DN,300,300,8965.87,3.60532196137,4.58,31.84,90.99,3,1,0.0,23,0.0,50.5371443541,50.5372223014,9.71622350943,9.71615008242
345251,2016,14366,1968,83313,41.678,2.98,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,600,600,61877.24,2.76857982147,5.06,54.63,100.0,2,2,0.0,19,0.0,50.5373065901,50.5374264381,9.71536537566,9.71482311769
345276,2016,14367,1968,83315,55.575,2.85,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,600,600,82509.42,3.4829001984,4.87,35.51,96.87,3,1,0.0,19,0.0,50.5372268537,50.5373044477,9.71613956773,9.71537887619
345301,2016,14368,1968,83317,31.031,2.38,K,KW,B5,2,SB,Stahlbeton,Stahlbeton,DN,300,300,25051.33,4.17582828381,4.87,16.48,96.87,4,1,0.0,19,0.0,50.5372273086,50.5372261383,9.71657728483,9.71615352727
345326,2016,14369,1968,83319,31.581,2.55,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,25495.34,2.78056646225,4.43,54.39,88.04,2,2,0.0,19,0.0,50.5371453001,50.5372260545,9.71700357738,9.71659108098
345351,2016,14370,1968,83321,61.596,4.19,K,KW,B5,1,B,Beton,Beton,DN,300,300,69560.36,2.07693007955,2.27,68.46,44.34,0,1,0.0,19,0.0,50.5361360768,50.5365972265,9.71805846841,9.71851374351
345376,2016,14371,1982,83323,4.816,5.04,K,KW,B5,1,B,Beton,Beton,DN,300,300,5438.71,1.12677740234,1.88,87.46,36.8,0,1,0.0,33,0.0,50.5366046407,50.5366317679,9.7185218996,9.71855489474
